feature,gain
V296,9153.171211242676
device_brand_freq,8904.36429977417
V267,8854.509269714355
V169,8814.942901611328
V4,8801.42359161377
V316,8243.019523620605
V205,8174.9801025390625
os_raw_freq,7970.287158966064
V145,7820.32160949707
V6,7815.005077362061
V23,7733.318862915039
billing_country,7646.175392150879
V291,7607.780406951904
V66,7575.685447692871
V268,7571.198089599609
V7,7560.989475250244
C3,7505.469833374023
V64,7340.338863372803
V225,6961.125988006592
browser_family,6935.6442222595215
D7,6735.504795074463
V79,6669.209903717041
V335,6616.779651641846
V52,6498.625915527344
V25,6451.548496246338
id_11,6263.20166015625
V177,6083.302192687988
V200,5884.075267791748
V154,5553.423286437988
V43,5474.534461975098
V188,5312.77961730957
V58,5289.103267669678
V135,5091.628620147705
V168,4990.637710571289
V51,4902.831558227539
V96,4652.753902435303
V298,4105.3671798706055
id_32,3660.5797843933105
V151,3645.743019104004
V224,3640.0959701538086
V286,3133.4336166381836
V246,2030.6180992126465
id_04,2026.6369171142578
V192,1735.8788871765137
